Point,r (m),dr (m),C,dC,q_method1 (C),dq_method1 (C),q_method2 (C),dq_method2 (C)
1.0,5.109407295746371e-07,7.132973675501222e-10,1.1588729373279043,0.00031961294024131904,1.5439160975418195e-19,7.748088167111105e-21,1.620095805827099e-19,8.13039333076535e-21
2.0,7.165165156686743e-07,1.2640872545663597e-09,1.1133114876231516,0.0002696763189540018,1.4321171740375043e-19,7.201954940857072e-21,1.5943697597553976e-19,8.01790480345345e-21
3.0,7.010749783497878e-07,6.964583264809533e-10,1.1158063386263055,0.00018635098789555486,2.472846821805817e-19,1.2388542899099636e-20,1.564600720124647e-19,7.838384072278154e-21
4.0,4.1291616916242285e-07,4.751591019234373e-10,1.1965450489071254,0.0003471754964217681,2.0762893515028197e-19,1.0408146539899833e-20,5.911147847484667e-20,2.9631752901445408e-21
5.0,5.21229432104408e-07,4.807784978712736e-10,1.1557393230331923,0.0002395438087752429,1.1908906777503292e-19,5.9647045330280685e-21,1.0614791390381155e-19,5.316532869579454e-21
6.0,8.736070850452544e-07,2.962374316305257e-09,1.0929409630120952,0.00037238820386875724,2.6981238355659607e-19,1.376954426496899e-20,2.6336675507435315e-19,1.344059951628153e-20
7.0,4.956305002462626e-07,1.601473238572894e-09,1.1637764497459469,0.000630022813684261,1.1701758277287995e-19,5.960920953375282e-21,1.2644392639191582e-19,6.441102545414191e-21
8.0,5.163246463233479e-07,4.2914917879364044e-10,1.1572176100463198,0.0002274741962845294,1.459814250914138e-19,7.309538727515247e-21,1.0389218084508337e-19,5.2020585420207725e-21
9.0,6.499381728619707e-07,1.426432788677248e-09,1.124914125719825,0.00035106522696847647,1.45584510354192e-19,7.343449647298426e-21,1.511717257922676e-19,7.625275200980588e-21
10.0,4.6657639597931677e-07,7.052920203096028e-10,1.1739652081886631,0.0003700786163457623,1.5961466599318777e-19,8.015014151978023e-21,1.484603848805808e-19,7.454904462706101e-21
11.0,4.6066921063739187e-07,5.988930727181424e-09,1.1761937052107239,0.002399030196762197,1.2236696292744952e-19,7.760492553611796e-21,1.0529822774687372e-19,6.677996191035847e-21
12.0,4.15216854696208e-07,3.2451801148603174e-10,1.1954574369635562,0.00027309761613663144,1.351901779776692e-19,6.768230680749664e-21,1.8846300396766349e-19,9.435308871705782e-21
13.0,4.094920767751405e-07,1.0231296648302185e-09,1.1981863127077643,0.0006171791466915435,1.421439036265406e-19,7.187960314814034e-21,1.2985117470774935e-19,6.5663392295989516e-21
14.0,6.438663302964949e-07,1.5605125374094084e-09,1.126091573125778,0.0003832412235813622,1.4772792994419234e-19,7.465487913571897e-21,1.3297661575614928e-19,6.720024561978602e-21
15.0,5.21963566794539e-07,6.056568966506162e-10,1.1555204444099927,0.0002762128921208766,1.38533040159339e-19,6.944742491432461e-21,1.4482409440847189e-19,7.260116727857277e-21
16.0,6.470641686674285e-07,1.9633629782079514e-09,1.1254686984031401,0.0004579591934847724,3.204761644476834e-19,1.629021314753752e-20,3.107991135074172e-19,1.579831627674154e-20
17.0,6.055888059049495e-07,2.1019948046015813e-09,1.134057445497102,0.0005478529925837844,2.193320465514447e-19,1.1203957234065565e-20,2.0936244659597635e-19,1.0694688418595819e-20
18.0,5.534389760403816e-07,3.877617341210896e-10,1.1466817036494168,0.00019308661546236312,1.8909366642351506e-19,9.46484384700674e-21,1.6653447757070764e-19,8.335672236738544e-21
19.0,5.51368409255294e-07,6.143241869480098e-10,1.1472321757734567,0.00025469725519872133,1.3122543252999338e-19,6.577170904833134e-21,1.6104292393184476e-19,8.071658163303737e-21
