Point,r (m),C,q_method1 (C),dq_method1 (C),q_method2 (C),dq_method2 (C)
1.0,5.109407295746371e-07,1.1588729373279043,1.5439160975418195e-19,7.730968018230879e-21,1.620095805827099e-19,8.122275422155972e-21
2.0,7.165165156686743e-07,1.1133114876231516,1.4321171740375043e-19,7.177825798507968e-21,1.5943697597553976e-19,1.2647015923613576e-20
3.0,7.010749783497878e-07,1.1158063386263055,2.472846821805817e-19,1.2373086346664104e-20,1.564600720124647e-19,7.903161216912344e-21
4.0,4.1291616916242285e-07,1.1965450489071254,2.0762893515028197e-19,1.0391561830683568e-20,5.911147847484667e-20,3.352247970384058e-21
5.0,5.21229432104408e-07,1.1557393230331923,1.1908906777503292e-19,5.958050858875741e-21,1.0614791390381155e-19,5.8232337010845445e-21
6.0,8.736070850452544e-07,1.0929409630120952,2.6981238355659607e-19,1.361293732779374e-20,2.6336675507435315e-19,1.3357232009880256e-20
7.0,4.956305002462626e-07,1.1637764497459469,1.1701758277287995e-19,5.898812800202039e-21,1.2644392639191582e-19,6.731371056614997e-21
8.0,5.163246463233479e-07,1.1572176100463198,1.459814250914138e-19,7.302553738238119e-21,1.0389218084508337e-19,6.984045482871776e-21
9.0,6.499381728619707e-07,1.124914125719825,1.45584510354192e-19,7.306589480376141e-21,1.511717257922676e-19,7.630254484392958e-21
10.0,4.6657639597931677e-07,1.1739652081886631,1.5961466599318777e-19,7.994611241138272e-21,1.484603848805808e-19,7.584927751081657e-21
11.0,4.6066921063739187e-07,1.1761937052107239,1.2236696292744952e-19,6.891284758716463e-21,1.0529822774687372e-19,2.6540013784762026e-20
12.0,4.15216854696208e-07,1.1954574369635562,1.351901779776692e-19,6.762283284604811e-21,1.8846300396766349e-19,1.5628384754926966e-20
13.0,4.094920767751405e-07,1.1981863127077643,1.421439036265406e-19,7.141747132816365e-21,1.2985117470774935e-19,6.546948586498796e-21
14.0,6.438663302964949e-07,1.126091573125778,1.4772792994419234e-19,7.420358081833154e-21,1.3297661575614928e-19,6.729444423958306e-21
15.0,5.21963566794539e-07,1.1555204444099927,1.38533040159339e-19,6.933561227722227e-21,1.4482409440847189e-19,8.179648862751242e-21
16.0,6.470641686674285e-07,1.1254686984031401,3.204761644476834e-19,1.6139794673407978e-20,3.107991135074172e-19,1.5659468650598842e-20
17.0,6.055888059049495e-07,1.134057445497102,2.193320465514447e-19,1.1070553957934148e-20,2.0936244659597635e-19,1.0607037328439075e-20
18.0,5.534389760403816e-07,1.1466817036494168,1.8909366642351506e-19,9.457702081022994e-21,1.6653447757070764e-19,1.42184231015069e-20
19.0,5.51368409255294e-07,1.1472321757734567,1.3122543252999338e-19,6.56727607176056e-21,1.6104292393184476e-19,8.458750599565128e-21
20.0,6.094809435334043e-07,1.133201802359408,2.649034648881726e-19,1.3302942121329027e-20,2.819110490561556e-19,1.4167898108790133e-20
21.0,5.199755767683619e-07,1.1561145811623175,1.7597276470058126e-19,8.810359891065232e-21,1.7153332676721245e-19,8.593780589001056e-21
22.0,5.334342239985357e-07,1.1521786723563392,1.667291836747241e-19,8.343728539740729e-21,1.5465362273916699e-19,7.748323226333084e-21
23.0,5.306770857080366e-07,1.152968743269835,1.6007371243905721e-19,8.011683770564166e-21,1.6147031884954236e-19,8.094338026755611e-21
24.0,7.066264263289852e-07,1.1148968591831006,3.376075695093811e-19,1.6886010391115284e-20,3.190574835526408e-19,1.597438549439473e-20
25.0,5.160492506152156e-07,1.1573014455374262,1.2863841708328794e-19,6.438725589009125e-21,1.6933933553358888e-19,8.479875572173557e-21
26.0,5.32966288083332e-07,1.152312186363914,3.227029327668874e-19,1.6172349519471358e-20,3.108885078965186e-19,1.5605733275811616e-20
27.0,4.350243201225729e-07,1.1865686736487233,1.59677123452228e-19,7.993085290909315e-21,1.4543315804752712e-19,7.301816837214824e-21
28.0,4.580412205473945e-07,1.1772035615918417,1.567345808500791e-19,7.862100442244184e-21,1.5306370425998605e-19,7.681089333466508e-21
29.0,4.499680205118379e-07,1.1803794927351299,1.4110916302672516e-19,7.072143829400594e-21,1.4581404916773698e-19,7.311162823243594e-21
30.0,4.6720650106745905e-07,1.1737308203115573,1.322645966725543e-19,6.6192126453167185e-21,1.5096560569840644e-19,7.587166904650837e-21
